 electric dipole polarizability:    384.26933324500436     
 m1, energy weight E*R sum:         69381.922242387809     
 m0, R(E) sum:                      2426.7648038431062     
 centroid m1/m0:                    28.590295249260361     
               E                R(E)           photodisintegration cross section
         27.10000000        333.68793094       3637.49299661
         27.20000000        338.64154224       3705.11347303
         27.30000000        343.26280795       3769.48286689
         27.40000000        347.69459029       3832.13563674
         27.50000000        352.02129603       3893.98260607
         27.60000000        356.25240472       3955.11633691
         27.70000000        360.31501770       4014.71303956
         27.80000000        364.05638897       4071.04430552
         27.90000000        367.25680637       4121.60561003
         28.00000000        369.65237653       4163.35946834
         28.10000000        370.96596952       4193.07632071
         28.20000000        370.94284368       4207.73597591
         28.30000000        369.38576238       4204.93186798
         28.40000000        366.18350071       4183.20827718
         28.50000000        361.32723009       4142.26546172
         28.60000000        354.91154609       4082.99207716
         28.70000000        347.12028974       4007.32229140
         28.80000000        338.20065876       3917.95382072
         28.90000000        328.43127904       3817.98950512
         29.00000000        318.09034442       3710.57197510
         29.10000000        307.42883387       3598.57006227
         29.20000000        296.65188582       3484.35455548
         29.30000000        285.90941594       3369.67840409
         29.40000000        275.29549494       3255.65825385
         29.50000000        264.85498006       3142.84190549
         29.60000000        254.59530251       3031.33876439
         29.70000000        244.50099707       2920.98589413
         29.80000000        234.54845915       2811.52030386
         29.90000000        224.71859081       2702.72940693
         30.00000000        215.00553903       2594.55737574
         30.10000000        205.42062430       2487.15537115
         30.20000000        195.99162069       2380.87625119
         30.30000000        186.75848232       2276.22579389
         30.40000000        177.76714857       2173.78939549
         30.50000000        169.06310118       2074.15422914
         30.60000000        160.68598191       1977.84290324
         30.70000000        152.66601713       1885.26813410
         30.80000000        145.02244109       1796.71131773
         30.90000000        137.76369148       1712.32275020
         31.00000000        130.88890733       1632.13813393
         31.10000000        124.39016951       1556.10473623
         31.20000000        118.25494936       1484.11070042
         31.30000000        112.46833394       1416.01213492
         31.40000000        107.01474597       1351.65435759
         31.50000000        101.87904130       1290.88566829
         31.60000000         97.04701338       1233.56384792
         31.70000000         92.50543537       1179.55688411
         31.80000000         88.24181515       1128.74003425
         31.90000000         84.24403234       1080.99131597
         32.00000000         80.49998856       1036.18707997
         32.10000000         76.99735279        994.19872632
         32.20000000         73.72343831        954.89106412
         32.30000000         70.66521363        918.12238138
         32.40000000         67.80942693        883.74599808
         32.50000000         65.14281032        851.61289208
         32.60000000         62.65232265        821.57487944
         32.70000000         60.32538730        793.48778826
         32.80000000         58.15008524        767.21409915
         32.90000000         56.11527399        742.62465153
         33.00000000         54.21061986        719.59922827
         33.10000000         52.42655053        698.02608666
         33.20000000         50.75415198        677.80073488
         33.30000000         49.18504352        658.82439125
         33.40000000         47.71126527        641.00257856
         33.50000000         46.32520407        624.24421175
         33.60000000         45.01957269        608.46138515
         33.70000000         43.78744491        593.56991497
         33.80000000         42.62234143        579.49057904
         33.90000000         41.51835549        566.15091976
         34.00000000         40.47030289        553.48741148
         34.10000000         39.47387613        541.44771945
         34.20000000         38.52577707        529.99270180
         34.30000000         37.62380084        519.09776946
         34.40000000         36.76684727        508.75326515
         34.50000000         35.95484760        498.96366755
         34.60000000         35.18860920        489.74563815
         34.70000000         34.46959650        481.12513972
         34.80000000         33.79967604        473.13399932
         34.90000000         33.18085527        465.80632257
         35.00000000         32.61503890        459.17509133
