 electric dipole polarizability:    15104.186366367150     
 m1, energy weight E*R sum:         455024.14326802036     
 m0, R(E) sum:                      33782.294355871818     
 centroid m1/m0:                    13.469308463027202     
               E                R(E)           photodisintegration cross section
         15.40000000       3920.73774933      24287.39247267
         15.50000000       3701.38630201      23077.48553706
         15.60000000       3486.95537123      21880.80839885
         15.70000000       3280.21481340      20715.44723167
         15.80000000       3083.09296100      19594.58557317
         15.90000000       2896.81311751      18527.20805832
         16.00000000       2722.03310487      17518.85674173
         16.10000000       2558.97425445      16572.35273325
         16.20000000       2407.53287880      15688.43480389
         16.30000000       2267.37192488      14866.29495193
         16.40000000       2137.99343791      14104.00950072
         16.50000000       2018.79409191      13398.87529737
         16.60000000       1909.10678775      12747.66628267
         16.70000000       1808.23150581      12146.82791804
         16.80000000       1715.45842895      11592.62682363
         16.90000000       1630.08592182      11081.27103045
         17.00000000       1551.43530231      10609.01263611
         17.10000000       1478.86351027      10172.23956181
         17.20000000       1411.77386895       9767.55717132
         17.30000000       1349.62434058       9391.85504931
         17.40000000       1291.93224651       9042.35102718
         17.50000000       1238.27454592       8716.60508364
         17.60000000       1188.28345204       8412.50030369
         17.70000000       1141.63817764       8128.19522172
         17.80000000       1098.05455004       7862.05891789
         17.90000000       1057.27474190       7612.60444108
         18.00000000       1019.05923156       7378.43589751
         18.10000000        983.18238025       7158.21993127
         18.20000000        949.43192591       6950.68481085
         18.30000000        917.61157493       6754.64219775
         18.40000000        887.54505337       6569.02034221
         18.50000000        859.07970527       6392.89488708
         18.60000000        832.08807868       6225.50548397
         18.70000000        806.46677509       6066.25220806
         18.80000000        782.13282105       5914.67295678
         18.90000000        759.01856163       5770.40873581
         19.00000000        737.06631898       5633.16591690
         19.10000000        716.22379647       5502.68293491
         19.20000000        696.44065805       5378.70495210
         19.30000000        677.66617481       5260.96598187
         19.40000000        659.84753103       5149.17559069
         19.50000000        642.92837978       5043.00714895
         19.60000000        626.84744715       4942.08611649
         19.70000000        611.53726109       4845.97897861
         19.80000000        596.92331067       4754.18530328
         19.90000000        582.92406511       4666.13647803
         20.00000000        569.45227346       4581.20475380
         20.10000000        556.41780711       4498.72507656
         20.20000000        543.73199913       4418.02976764
         20.30000000        531.31302959       4338.49279155
         20.40000000        519.09152314       4259.57706654
         20.50000000        507.01531590       4180.87627496
         20.60000000        495.05241985       4102.14288897
         20.70000000        483.19157333       4023.29681198
         20.80000000        471.44030784       3944.41337271
         20.90000000        459.82100922       3865.69399164
         21.00000000        448.36583069       3787.42619750
         21.10000000        437.11142188       3709.94085570
         21.20000000        426.09427774       3633.57340912
         21.30000000        415.34718543       3558.63340500
         21.40000000        404.89690544       3485.38378802
         21.50000000        394.76297985       3414.02938138
         21.60000000        384.95745487       3344.71302476
         21.70000000        375.48529907       3277.51771694
         21.80000000        366.34532390       3212.47326454
         21.90000000        357.53142278       3149.56595898
         22.00000000        349.03393556       3088.74966226
         22.10000000        340.84094666       3029.95663175
         22.20000000        332.93936374       2973.10669983
         22.30000000        325.31569890       2918.11404356
         22.40000000        317.95655230       2864.89146355
         22.50000000        310.84884725       2813.35252925
         22.60000000        303.97987322       2763.41203437
         22.70000000        297.33718080       2714.98511209
         22.80000000        290.90837285       2667.98537177
         22.90000000        284.68086412       2622.32269527
         23.00000000        278.64172646       2577.90176733
         23.10000000        272.77776420       2534.62270645
         23.20000000        267.07594020       2492.38498767
         23.30000000        261.52418516       2451.09505923
         23.40000000        256.11248736       2410.67679448
         23.50000000        250.83402528       2371.08261222
         23.60000000        245.68602954       2332.30230085
         23.70000000        240.67008685       2294.36673079
         23.80000000        235.79172888       2257.34479450
         23.90000000        231.05933818       2221.33368223
         24.00000000        226.48257926       2186.44430890
         24.10000000        222.07066267       2152.78474358
         24.20000000        217.83075114       2120.44460298
         24.30000000        213.76673975       2089.48271647
         24.40000000        209.87853342       2059.91937757
         24.50000000        206.16184768       2031.73357767
         24.60000000        202.60849407       2004.86498785
         24.70000000        199.20707470       1979.22007441
         24.80000000        195.94398217       1954.68142822
         24.90000000        192.80456651       1931.11900871
         25.00000000        189.77429261       1908.40157282
         25.10000000        186.83968826       1886.40627051
         25.20000000        183.98890032       1865.02449591
         25.30000000        181.21174443       1844.16271882
         25.40000000        178.49924170       1823.73808687
         25.50000000        175.84275157       1803.66977330
